"First Name","Email Address",Url,Telephone,Address
"La Casa Del Alfarero S.A.S",corpoalfafero@gmail.com,www.lacasadelalfarero.com.co,"(+57) 7 6714007(+57) 318 6867113(+57) 317 8295829","Cr18 8 - 49Bucaramanga - Santander"
"Fundación Casa De Amor Y Paz Emmanuel",funcape2016@gmail.com,www.funcape.org,"(+57) 317 3713401(+57) 317 3662797(+57) 317 3713401(+57) 318 3643307","Cl 32 28 - 25 B° la Aurora Sede ValientesBucaramanga - Santander"
Funcape,funcape2016@gmail.com,https://www.funcape.org/,"(+57) 317 3713401(+57) 317 3662797(+57) 317 3713401(+57) 318 3643307","Cl 32 28 - 25 B° la Aurora Sede ValientesBucaramanga - Santander"
"Fundación Nuevo Rumbo",fundacionnuevorumbo@hotmail.com,www.fundacionnuevorumbo.com,"(+57) 301 7724603(+57) 1 7353763(+57) 301 7257960","Cr 49 94 - 83 la CastellanaBogotá - Distrito Capital"
"Centro De Rehabilitación Nuevo Rumbo",fundacionnuevorumbo@hotmail.com,www.fundacionnuevorumbo.com,"(+57) 301 7724603(+57) 1 7514203(+57) 301 7257960","Cl 48 - 70 C 29 NormandiaBogotá - Distrito Capital"
"Centro De Rehabilitacion Cristiana Maranatha",funmar_em@hotmail.com,www.fundacioncristianamaranatha.com,"(+57) 1 4109238(+57) 311 5823366(+57) 311 8350260(+57) 18147174","Cr75 52a - 59Bogotá - Distrito Capital"
"Fundación Cristiana Maranatha",funmar_em@hotmail.com,www.fundacioncristianamaranatha.com,"(+57) 1 4109238(+57) 18147174(+57) 311 5823366(+57) 311 8350260","Cr75 52a - 59Bogotá - Distrito Capital"
"Fundación Desafíos",fundaciondesafioscolombia@hotmail.com,www.fundaciondesafios.com,"(+57) 301 2767904(+57) 300 4445546(+57) 1 4657224","Cl 25d 81a - 66Bogotá - Distrito Capital"
"Adicciones Fundación Desafíos",fundaciondesafioscolombia@hotmail.com,www.fundaciondesafios.com,"(+57) 1 4657224(+57) 18068791(+57) 300 4445546(+57) 301 2767904","Cl 25 D 81 A - 66Bogotá - Distrito Capital"
"Brújula Sm",info@brujulasm.com,www.brujulasm.com,"(+57) 4 4448586(+57) 317 5111991(+57) 316 5241985","Cl 26 Sur 6 - 20 Entrando al Paraíso Vda la EsperanzaEnvigado - Antioquia"
"Fundación Jesucristo Es Mi Pastor",Info@funjepas.com,www.funjepas.org,"(+57) 1 2997056(+57) 320 2768778","Cr80 39 A - 84 SBogotá - Distrito Capital"
Ipsicol,mercadeo.ipsicol@gmail.com,www.ipsicol.org,"(+57) 4 2634981(+57) 4 4801700(+57) 4 2634538","Cl 62 50 - 34Medellín - Antioquia"
"Clínica Siquiátrica San Juan De Dios",comunicacionesmanizales@clinicasanjuandedios.com.co,www.ordenhospitalaria.com.co,"(+57) 4 5352020","A. San Juan de Dios La Ceja ( Ant )Medellín - Antioquia"
"Fundación Para La Rehabilitación De Alcohólicos Y Adictos - Fundar",fundaradic@hotmail.com,www.fundar.com.co,"(+57) 1 2321133(+57) 1 2454710(+57) 311 5992141","Cr16 36-22Bogotá - Distrito Capital"
"Centro Terapéutico El Redentor",redentorips@hotmail.es,www.fundacionelredentor.com,"(+57) 317 5158831","Km.4 Adelante del Aeropuerto, Diag A la Ferretería Construkiko- Vereda Santa RosaBucaramanga - Santander"
"Mujeres Con Propósito",mujeresconpropositobga@gmail.com,https://www.facebook.com/mujeresbga/,"(+57) 311 2554807(+57) 316 3978982(+57) 7 6977904(+57) 316 5708711","Carrera 21 # 41-61Bucaramanga - Santander"
"Corporación Empresarial Y Artesanal Mujeres Con Próposito",mujeresconpropositobga@gmail.com,.com,"(+57) 311 2554807(+57) 316 3978982(+57) 7 6977904(+57) 316 5708711","Carrera 21 # 41-61Bucaramanga - Santander"
"Ciasm- Dr. Daniel Gutiérrez Cuervo",danielguti27@hotmail.com,www.clinicasaludmental.co,"(+57) 1 2181407(+57) 315 3055189","Cr49 102a - 06Bogotá - Distrito Capital"
"Grupo Mente Sana",mebf@orgmentesana.com,www.grupomentesana.com,"(+57) 2 5536125","Cr43 A 5 B - 41Cali - Valle Del Cauca"
"Jaime Campo Jaramillo",jacampo28@gmail.com,www.jaimecampo.com.co,"(+57) 315 4124318(+57) 6 3352705","Cr6 18-46 CC Plazuela Consult 204Pereira - Risaralda"
"Consultorio Psicológico: Salud Mental",psicocarolina25@gmail.com,www.facebook.com/apapsicologiaatiempo/,"(+57) 314 7773917","Cr62 44-44 Urbanización la Alameda, Detrás de la Iglesia la PresentaciónRionegro - Antioquia"
"Fundación Resurgir A La Vida",fundacionresurgiralavid@gmail.com,https://www.fundacionresurgir.com.co,"(+57) 311 8709524(+57) 1 4929802(+57) 310 8625175","Cr71D 51 - 52Bogotá - Distrito Capital"
"Sandra Bernal",bernal-sandra@hotmail.com,www.sandrabernal.co,"(+57) 5 3609481(+57) 301 5458382(+57) 300 8091711","Cl 79 49c - 54 L - 101 Alto PradoBarranquilla - Atlántico"
"Fundación Sembrar Proyecto De Vida",semprovida@gmail.com,www.fundacionsemprovida.com,"(+57) 310 7619967(+57) 5 6688489","Cr16 17 A - 15Magangué - Bolívar"
"Fundación Renovando Tu Mente",angeliksantagal@gmail.com,.com,"(+57) 312 2828291(+57) 4 4442566","Vereda el Placer Finca el Ensueño Vía el Mojon, Santa HelenaMedellín - Antioquia"
"Fundación Criar",colectivocriar@hotmail.com,www.fundacioncriar.com,"(+57) 1 4773941(+57) 310 4448088","Cl 80 Autopista Medellín Sector SiberiaBogotá - Distrito Capital"
"Colectivo De Recuperación Integral En Adicciones - Criar",colectivocriar@hotmail.com,www.criar.com,"(+57) 1 4773941(+57) 310 4448088","Cl 80 Autopista Medellín Sector SiberiaBogotá - Distrito Capital"
"A.A. Alcohólicos Anónimos Grupo La Unión",grupolauniondeaabogota@gmail.com,www.aagrupolaunion.com,"(+57) 314 3634769(+57) 1 2890105","Cl 7 5 - 45Bogotá - Distrito Capital"
"Centro Internacional Integral De Restauración",asociir@hotmail.com,www.asociir.com,"(+57) 312 3626205(+57) 313 4251551(+57) 1 5996537","Cr27 A 4 A-41Bogotá - Distrito Capital"
"Fundación Francisco Y Clara De Asís",ffranciscoyclara@une.net.co,www.fundacionfranciscoyclaradeasis.org,"(+57) 4 4448506(+57) 4 2638506(+57) 314 6783268","Cl 65 50b - 40Medellín - Antioquia"
"Fundación Niños De Los Andes",ninandes@ninandes.org,www.ninandes.org,"(+57) 1 6780655(+57) 1 8893460","Cr8c B A 164a - 51Bogotá - Distrito Capital"
"Fundación Vive La Vida Ips",fundacionvivelavida@hotmail.com,www.fundacionvivelavida.org,"(+57) 2 5553439(+57) 310 4723696(+57) 317 5761601","Km 7 Vía Cali - Jamundí Callejón Cascajal Cs 3Cali - Valle Del Cauca"
