"First Name","Email Address",Url,Telephone,Address
"Clínica Veterinaria Mascotas Gold S.A.S.",lili-murillo@hotmail.com,www.veterinariamascotasymascotasgold.com,"(+57) 7 6384752(+57) 312 4333657(+57) 7 6192121(+57) 350 7346281","Cr24 30 - 43Floridablanca - Santander"
"Sportcan Medellín",e.andresm8319@hotmail.com,www.sportcanmedellin.com,"(+57) 313 7299705(+57) 320 6864850(+57) 321 8418227","Cl 50 A 86-295Medellín - Antioquia"
"Ruitoque Club Canino",info@ruitoqueclubcanino.com,www.ruitoqueclubcanino.com,"(+57) 7 6782647(+57) 316 4754789","5,5 Km Adelante del Voladero de Parapente las Águilas Vía Ppal Ruitoque Alto FloFloridablanca - Santander"
"Criadero Paraíso",jjrg37sur@yahoo.es,www.criaderoparaiso.com.co,"(+57) 4 8036410(+57) 4 4191082","Vda Cuchillas de San José RionegroRionegro - Antioquia"
"Mi Casa Campestre",micasacampestre@hotmail.com,www.instagram.com/micasacampestre,"(+57) 6 3279143(+57) 300 7595837","Vía Cerritos Km 11 Frente al Colegio Rafael ReyesPereira - Risaralda"
"Colegio Canino Play Dog",colegio_playdog@hotmail.com,www.colegioplaydog.com,"(+57) 7 6387712(+57) 301 2621185(+57) 301 4381992","Km 2 vía Ruitoque bajoBucaramanga - Santander"
"Guardería Canina Yalu",yaluguarderiacanina@gmail.com,www.yaluguarderiacanina.com,"(+57) 2 5215359(+57) 310 3589398(+57) 316 5319314(+57) 315 4057266","Cr2 O 21 - 18Cali - Valle Del Cauca"
"Centro Medico Veterinario La 92",centromedicoveterinariola92@gmail.com,www.centromedicoveterinariola92.com,"(+57) 4 2365838(+57) 316 4025361","Cl 92 50 B - 25Medellín - Antioquia"
"Veterinaria Can & Cross",urgenciasvet@yahoo.com,https://www.canandcross.com/,"(+57) 315 3978926(+57) 318 3830354(+57) 320 5004167","VDA. de Buenos Aires, Sector los Pinos, Finca el Remanso, 1 Km Antes de la PlantaLa Calera - Cundinamarca"
"Criadero El Pequeño Rinconcito Victoria Georges",victoria.georges@yahoo.com,.com,"(+57) 316 6189665(+57) 4 2542872(+57) 317 3720861","Cr45 58 - 29Medellín - Antioquia"
