"First Name","Email Address",Url,Telephone,Address
"Postequipos S.A.",postequipos@une.net.co,www.postequipos.com.co,"(+57) 4 3426363(+57) 310 3851698","Cl 28 87 - 33Medellín - Antioquia"
"Elprecon S.A.S.",elprecon@hotmail.com,www.elprecon.com,"(+57) 312 5933840(+57) 1 8246840(+57) 300 2081101(+57) 311 5149414","Km 13,7 Autop Medellín Costado NorteBogotá - Distrito Capital"
"El Condor Prefabricados S.A.S.",condor.pref@hotmail.com,www.elcondorprefabricados.com,"(+57) 321 4869434(+57) 313 4230803(+57) 313 4607805(+57) 321 2007397(+57) 1 7218612","Km 2 Vía Fusunga Vereda PanamáSoacha - Cundinamarca"
"Ladrillera Altavista",mercadeo@ladrilleraaltavista.com,www.ladrilleraaltavista.com,"(+57) 314 6452887(+57) 4 3411346(+57) 310 6685672","Cl 18 105-97Medellín - Antioquia"
"Paola Osorio Alquilamos S.A.S.",paoosorio2009@hotmail.com,www.paolaosorioalquilamos.com,"(+57) 2 3712551(+57) 310 5142304(+57) 316 7449722(+57) 316 8027348","Cr23 36a - 22Cali - Valle Del Cauca"
"Premoldeados S.A.S.",administrativo@premoldeados.com.co,www.premoldeados.co,"(+57) 2 4359174(+57) 316 8774794(+57) 318 8895362(+57) 2 4359163(+57) 316 5218426(+57) 2 4359140(+57) 2 5242141","Km 3 Vía Cali - CavasaCali - Valle Del Cauca"
"Alfarera Buena Vista S.A.S",alfarera@une.net.co,www.alfarerabuenavista.com,"(+57) 4 2380007(+57) 4 4446858(+57) 314 6621074","Cl 31 Aa 106-29Medellín - Antioquia"
"Vallegrés Tejas Y Ladrillos S.A.",subcomercial@vallegres.com,www.vallegres.com,"(+57) 2 6681405(+57) 2 6683620(+57) 310 8261402(+57) 313 7475015","Cl 18 N 7 N - 17Cali - Valle Del Cauca"
"Ladrillera San Cristóbal S.A.",contaladrillerasc@une.net.co,www.ladrillerasancristobal.com,"(+57) 4 4271295(+57) 4 4270145(+57) 4 4270145","Cr144 63 - 100 San CristobalMedellín - Antioquia"
Conprecolor,ventas@comprecolor.com,www.conprecolor.com,"(+57) 4 5511133(+57) 4 5514112","Autop Medellín Bogotá Km 20 GuarneMedellín - Antioquia"
"Prefabricados Éxito S.A.S.",ventas@abensala.com,www.abensala.com,"(+57) 318 4004444(+57) 1 4004444(+57) 318 4002876","Cl 5a Sur 81 - 02Bogotá - Distrito Capital"
"Ferretería El Ingenio S.A.S",ferreteriaelingenio@yahoo.com,www.ferreteriaelingenio.com,"(+57) 2 3337777","Cl 25 84 A - 40Cali - Valle Del Cauca"
"Postecsa De Colombia S.A.S",constanza.jimenez@postecsa.com,www.postecsa.com,"(+57) 2 5218167(+57) 316 5020568","Vía Cali - Cencar - Aeropuerto Vereda Piles Km 2Cali - Valle Del Cauca"
"Colcerama S.A.S",servicliente@colcerama.com,,"(+57) 1 2124155(+57) 1 2124145","Cr22 63 - 46Bogotá - Distrito Capital"
"Distribuidora La Feria De Las Pinturas Y Cía S En C",servicioalcliente@laferiadelaspinturas.com,www.laferiadelaspinturas.com,"(+57) 2 5240108(+57) 2 6642849(+57) 2 6643729","Av3 N 52 N-32Cali - Valle Del Cauca"
"Arcillas De La Sabana",ventas@arcillasdelasabana.com,www.arcillasdelasabana.com,"(+57) 1 8613403(+57) 312 4888302(+57) 310 2236584","Vereda Rasgatá Baja Km 2 Vía NemocónBogotá - Distrito Capital"
"Cademac S.A.S",cademac@cademac.com.co,cademac.co,"(+57) 4 4481201","Calle 18 91-165Medellín - Antioquia"
"Maquitécnicos S.A.S.",ventas@maquitecnicos.com,www.maquitecnicos.com,"(+57) 300 5745116(+57) 1 2474156(+57) 300 7542819(+57) 315 5225093(+57) 316 2340538","Cl 7 26 - 93Bogotá - Distrito Capital"
"Gres La 65",ceramicaandina@une.net.co,www.gresla65.com.co,"(+57) 4 4449223(+57) 321 6497164","Cr 65 46 - 14Medellín - Antioquia"
"Prefabricados Industrializados De Concreto S.A.S.",picprefabricados@yahoo.es,www.picprefabricados.com,"(+57) 2 5216043(+57) 310 4934831(+57) 2 5216042","Km 6 Vía Cali A Puerto TejadaCali - Valle Del Cauca"
"Arcillas Amaya - Tablon En Gres",arcillasamaya15@gmail.com,www.arcillasamaya.com,"(+57) 300 3612666","Cl 24b 71a - 53 Tr 4-1004Bogotá - Distrito Capital"
"Prefabricados Omega",info@prefabricadosomega.com,www.prefabricadosomega.com,"(+57) 6 3170890(+57) 312 8340299","Cr2 11-65 Corregimiento Puerto CaldasPereira - Risaralda"
Ladrillar,ladrillarcartago@gmail.com,www.ladrilleraladrillar.com,"(+57) 311 7479073(+57) 2 2104207(+57) 314 6175172","Cr18 14-600 Vía CucharalargaCartago - Valle Del Cauca"
"Adoquín - Ar Caribe",adoquinarcaribe@hotmail.com,www.adoquinarcaribe.com,"(+57) 313 6491700(+57) 321 8472629","Cr2 2 - 03 Vda Chocolate Frente al Aeropuerto los GarzonesMontería - Córdoba"
"Formas De Concreto Ltda.",formasdeconcretos@hotmail.com,www.formasdeconcretos.com,"(+57) 1 6747068(+57) 1 6741171","Cr8 H 168-91 Int 5 Of 519Bogotá - Distrito Capital"
"Ladrillera Arcillas Ltda.",arcillas44@hotmail.com,www.ladrilleraarcillas.com,"(+57) 2 2125560(+57) 2 2109553(+57) 315 4268263(+57) 2 2109554(+57) 2 2109556","Cr4 39 - 89 Santa Ana Vía al Aeropuerto Km 1Cartago - Valle Del Cauca"
"Pisos & Gres Ltda.",publicidad@pisosygres.com,www.pisosygres.co,"(+57) 7 5777900(+57) 320 8038607(+57) 320 8366041","Av Gran Colombia 9 e - 09 ColsagCúcuta - Norte De Santander"
