"First Name","Email Address",Url,Telephone,Address
"Droguería Alemana",unidrogas1@hotmail.com,www.puntosaludables.com,"(+57) 2 2146400","Cl 20 3 C N-03Cartago - Valle Del Cauca"
"Droguería Inglesa",ronaldvergara@unidrogas.com,www.drogueriainglesa.com,"(+57) 5 3245135(+57) 318 3628099","Aeropuerto Ernesto Cortissoz Piso 2Soledad - Atlántico"
"Droguería Andina",unidrogas1@hotmail.com,www.puntosaludables.com,"(+57) 2 2146400","Cl 20 3 C N-03Cartago - Valle Del Cauca"
"Gómez Vesga Laboratorio Clínico",mercadeo@gomezvesga.com,www.labgomezvesga.com,"(+57) 1 6609567(+57) 1 5311200(+57) 1 6165353","Cl 108 14 - 36Bogotá - Distrito Capital"
"Dempos S.A.",medicamentospos@dempos.com.co,www.dempos.com.co,"(+57) 4 3790002","Cr46 48 C-S 40 Bdg 136Envigado - Antioquia"
"San Juan Home Care - Cuidado En Casa",naslysanjuan@hotmail.com,www.sanjuanhc.com,"(+57) 313 6595633(+57) 2 3716121(+57) 318 3666725(+57) 2 3744472","Cl 5 D 38 A - 35 Trr 2 Of 510Cali - Valle Del Cauca"
"Drogas Calidad",drogascalidad@hotmail.com,www.drogascalidad.com.co,"(+57) 310 6176257(+57) 4 2516156","Cl 54 (caracas) 47 - 29Medellín - Antioquia"
"Droguería Farmacia Pasteur",dalzate@pasteur.com.co,www.farmaciaspasteur.com.co,"(+57) 4 5482911","Cl 30 32-25Marinilla - Antioquia"
"Aldental S.A.",dental-contab@une.net.co,www.aldentalsa.com,"(+57) 4 2340133","Cl 48 77 - 78Medellín - Antioquia"
Fecundar,fecundar@fecundar.com,www.fecundar.com,"(+57) 2 5534300(+57) 312 2024943","Cr40 5b - 105 Brr TequendamaCali - Valle Del Cauca"
Marcel-France,ventasbmanga@marcel-france.com,,"(+57) 1 4118088(+57) 1 2921173(+57) 1 5734151(+57) 1 2921193(+57) 1 5936666","Cl 15 68 D-32Bogotá - Distrito Capital"
"Botica Junín",mauriciogaviria@botica.com.co,www.boticajunin.com.co,"(+57) 4 5136995","Cr74 53 - 145Medellín - Antioquia"
"Ips - Comfenalco Santander",vivasaludips@comfenalcosantander.com.co,,"(+57) 313 4958454(+57) 7 6346595","Cl 34 26 - 03Bucaramanga - Santander"
"Droguería Todo Drogas S.A.S",contactenos@tododrogas.com.co,www.tododrogas.com.co,"(+57) 314 5122841(+57) 4 5122841(+57) 322 4444202(+57) 4 4444202","Cl 49 47-50Medellín - Antioquia"
"Clínica Veterinaria Mundo Animal",administracion@animalcentereps.com,.com,"(+57) 2 3733031(+57) 2 3359664","Cl 18 B 28 - 90Cali - Valle Del Cauca"
"Farmacia Hahnemann Homeopática",servicioalcliente@farmaciahahnemann.com,www.farmaciahahnemann.com,"(+57) 1 2437495(+57) 1 3422380(+57) 304 3828103","Cl 17 12 - 06Bogotá - Distrito Capital"
"Clínica Madre Bernarda",cmbernarda@hotmail.com,www.clinicamadrebernarda.com.co,"(+57) 5 6933393(+57) 5 6925256","Cr71 31 - 395Cartagena - Bolívar"
"Droguería Farmanorte",farmanorte1@dromedicas.com.co,www.farmanorte.com.co,"(+57) 7 5892030(+57) 312 8086916(+57) 7 5892030","Cl 11 Con Av 2e Esq, Diagonal C.C. Ventura PlazaCúcuta - Norte De Santander"
"La Careta",oscarval01@hotmail.com,www.licoreslacareta.com.co,"(+57) 4 4481646(+57) 4 2601646(+57) 316 4463297(+57) 300 6198477(+57) 4 2601648","Cl 44A 69A - 34Medellín - Antioquia"
Dermalife,farmaciadermalife@une.net.co,www.dermalife.co,"(+57) 4 4445589","Cl 53 46-47 Loc 110 Pasaje Comercial InsumarMedellín - Antioquia"
"Spa Saivitá Comfenalco Santander",savitaspa@comfenalcosantander.com.co,www.comfenalcosantander.com.co,"(+57) 7 6577000(+57) 323 2795555","Hotel Mesón del Cuchicute Km 1 Vía San Gil - SocorroSan Gil - Santander"
"Ultraestetica Dental",dentalultraestetica@hotmai.com,www.dentalultraestetica.com,"(+57) 7 5832082(+57) 317 8913651(+57) 315 5243915","CALLE 12 Con Av 1 numero 0-98 Local-1 Diagonal a la BIBLIOTECA PUBLICACúcuta - Norte De Santander"
"Clínica De Especialistas",gerencia@institutomedicodeespecialistas.com,www.insitutomedicodeespecialistas.com,"(+57) 1 2323100(+57) 1 2877666","Av Caracas 30-51Bogotá - Distrito Capital"
"Laboratorio Clínico Eduardo Fernández",contacto@laboratorioeduardofernandez.com,www.laboratorioeduardofernandez.com,"(+57) 5 6533609(+57) 5 6612783(+57) 5 6642160(+57) 5 6656090(+57) 5 6602761(+57) 318 5713130(+57) 5 6650348(+57) 5 6655678(+57) 315 8703121","Cr7 36 - 35 de BadilloCartagena - Bolívar"
"Instituto Gastroclínico",instituto@gastroclinico.com.co,www.institutogastroclinico.com,"(+57) 4 4446600","Cr46 2 S-45 Consult 158Medellín - Antioquia"
"Animal Center E.P.S Canina",administracion@animalcentereps.com,,"(+57) 2 3356149(+57) 2 3367051(+57) 2 4890933(+57) 321 5563421(+57) 2 3359664","Cl 18 B 28 - 74Cali - Valle Del Cauca"
"Centro De Rehabilitacion Cristiana Maranatha",funmar_em@hotmail.com,www.fundacioncristianamaranatha.com,"(+57) 311 8350260(+57) 18147174(+57) 1 4109238(+57) 311 5823366","Cr75 52a - 59Bogotá - Distrito Capital"
"Fundación Cristiana Maranatha",funmar_em@hotmail.com,www.fundacioncristianamaranatha.com,"(+57) 1 4109238(+57) 18147174(+57) 311 5823366(+57) 311 8350260","Cr75 52a - 59Bogotá - Distrito Capital"
